SeasonStart,Season,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomeEloPre,AwayEloPre,HomeEloPost,AwayEloPost,ExpectedHomeWinProb,ExpectedAwayWinProb
1993,1993-94,1993-08-14,Arsenal,Coventry,0.0,3.0,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-14,Aston Villa,QPR,4.0,1.0,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-14,Chelsea,Blackburn,1.0,2.0,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-14,Liverpool,Sheffield Weds,2.0,0.0,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-14,Man City,Leeds,1.0,1.0,1500.0,1500.0,1498.2900264265638,1501.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-14,Newcastle,Tottenham,0.0,1.0,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-14,Oldham,Ipswich,0.0,3.0,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-14,Sheffield United,Swindon,3.0,1.0,1500.0,1500.0,1508.2900264265638,1491.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-14,Southampton,Everton,0.0,2.0,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-14,West Ham,Wimbledon,0.0,2.0,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-15,Norwich,Man United,0.0,2.0,1500.0,1500.0,1488.2900264265638,1511.7099735734362,0.5854986786718095,0.4145013213281905
1993,1993-94,1993-08-16,Tottenham,Arsenal,0.0,1.0,1511.7099735734362,1488.2900264265638,1499.3540535333104,1500.6459464666896,0.617796002006283,0.38220399799371696
1993,1993-94,1993-08-17,Everton,Man City,1.0,0.0,1511.7099735734362,1498.2900264265638,1519.6276813344298,1490.3723186655702,0.604114611950319,0.395885388049681
1993,1993-94,1993-08-17,Ipswich,Southampton,1.0,0.0,1511.7099735734362,1488.2900264265638,1519.3540535333104,1480.6459464666896,0.617796002006283,0.38220399799371696
1993,1993-94,1993-08-17,Leeds,West Ham,1.0,0.0,1501.7099735734362,1488.2900264265638,1509.6276813344298,1480.3723186655702,0.604114611950319,0.395885388049681
